Absorbance,Measurement,Instrument,Sample_Concentration_ug/ml,Bradford_Volume_µl,Sample_Volume_µl,Maker
2.776,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.926,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.879,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.925,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.915,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.973,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.969,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.96,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.976,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.98,Bradford:595,BiotekH1,2000,300,10,Alex Perkins
2.952,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.935,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.955,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.918,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.95,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.951,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.959,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.954,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.97,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.977,Bradford:595,BiotekH1,1750,300,10,Alex Perkins
2.785,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.735,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.822,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.767,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.739,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.812,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.784,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.792,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.79,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.799,Bradford:595,BiotekH1,1500,300,10,Alex Perkins
2.619,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.574,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.66,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.552,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.596,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.629,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.617,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.638,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.649,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.644,Bradford:595,BiotekH1,1250,300,10,Alex Perkins
2.561,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.422,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.426,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.44,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.442,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.495,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.468,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.481,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.491,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.469,Bradford:595,BiotekH1,1000,300,10,Alex Perkins
2.296,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.306,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.302,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.305,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.295,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.361,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.365,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.343,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.325,Bradford:595,BiotekH1,750,300,10,Alex Perkins
2.331,Bradford:595,BiotekH1,750,300,10,Alex Perkins
1.779,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.805,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.786,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.782,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.807,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.641,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.64,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.645,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.64,Bradford:595,BiotekH1,500,300,10,Alex Perkins
1.669,Bradford:595,BiotekH1,500,300,10,Alex Perkins
0.593,Bradford:595,BiotekH1,200,300,10,Alex Perkins
0.598,Bradford:595,BiotekH1,200,300,10,Alex Perkins
0.599,Bradford:595,BiotekH1,200,300,10,Alex Perkins
0.644,Bradford:595,BiotekH1,200,300,10,Alex Perkins
0.64,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.261,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.212,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.21,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.213,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.217,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.19,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.151,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.151,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.145,Bradford:595,BiotekH1,200,300,10,Alex Perkins
1.169,Bradford:595,BiotekH1,200,300,10,Alex Perkins
0.568,Bradford:595,BiotekH1,175,300,10,Alex Perkins
0.565,Bradford:595,BiotekH1,175,300,10,Alex Perkins
0.564,Bradford:595,BiotekH1,175,300,10,Alex Perkins
0.576,Bradford:595,BiotekH1,175,300,10,Alex Perkins
0.578,Bradford:595,BiotekH1,175,300,10,Alex Perkins
0.553,Bradford:595,BiotekH1,150,300,10,Alex Perkins
0.556,Bradford:595,BiotekH1,150,300,10,Alex Perkins
0.56,Bradford:595,BiotekH1,150,300,10,Alex Perkins
0.577,Bradford:595,BiotekH1,150,300,10,Alex Perkins
0.561,Bradford:595,BiotekH1,150,300,10,Alex Perkins
0.536,Bradford:595,BiotekH1,125,300,10,Alex Perkins
0.529,Bradford:595,BiotekH1,125,300,10,Alex Perkins
0.515,Bradford:595,BiotekH1,125,300,10,Alex Perkins
0.531,Bradford:595,BiotekH1,125,300,10,Alex Perkins
0.535,Bradford:595,BiotekH1,125,300,10,Alex Perkins
0.521,Bradford:595,BiotekH1,100,300,10,Alex Perkins
0.514,Bradford:595,BiotekH1,100,300,10,Alex Perkins
0.508,Bradford:595,BiotekH1,100,300,10,Alex Perkins
0.534,Bradford:595,BiotekH1,100,300,10,Alex Perkins
0.53,Bradford:595,BiotekH1,100,300,10,Alex Perkins
0.511,Bradford:595,BiotekH1,75,300,10,Alex Perkins
0.506,Bradford:595,BiotekH1,75,300,10,Alex Perkins
0.506,Bradford:595,BiotekH1,75,300,10,Alex Perkins
0.522,Bradford:595,BiotekH1,75,300,10,Alex Perkins
0.514,Bradford:595,BiotekH1,75,300,10,Alex Perkins
0.473,Bradford:595,BiotekH1,50,300,10,Alex Perkins
0.468,Bradford:595,BiotekH1,50,300,10,Alex Perkins
0.475,Bradford:595,BiotekH1,50,300,10,Alex Perkins
0.486,Bradford:595,BiotekH1,50,300,10,Alex Perkins
0.484,Bradford:595,BiotekH1,50,300,10,Alex Perkins
0.459,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.446,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.447,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.466,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.456,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.672,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.66,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.675,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.671,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.67,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.66,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.653,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.677,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.656,Bradford:595,BiotekH1,0,300,10,Alex Perkins
0.661,Bradford:595,BiotekH1,0,300,10,Alex Perkins
2.679,Bradford:595,BiotekH1,2000,250,5,Sahan Liyanagedera
2.752,Bradford:595,BiotekH1,2000,250,5,Sahan Liyanagedera
2.814,Bradford:595,BiotekH1,2000,250,5,Sahan Liyanagedera
2.85,Bradford:595,BiotekH1,2000,250,5,Sahan Liyanagedera
2.513,Bradford:595,BiotekH1,1500,250,5,Sahan Liyanagedera
2.552,Bradford:595,BiotekH1,1500,250,5,Sahan Liyanagedera
2.57,Bradford:595,BiotekH1,1500,250,5,Sahan Liyanagedera
2.503,Bradford:595,BiotekH1,1500,250,5,Sahan Liyanagedera
1.741,Bradford:595,BiotekH1,1000,250,5,Sahan Liyanagedera
2.047,Bradford:595,BiotekH1,1000,250,5,Sahan Liyanagedera
2.129,Bradford:595,BiotekH1,1000,250,5,Sahan Liyanagedera
2.044,Bradford:595,BiotekH1,1000,250,5,Sahan Liyanagedera
1.816,Bradford:595,BiotekH1,750,250,5,Sahan Liyanagedera
1.771,Bradford:595,BiotekH1,750,250,5,Sahan Liyanagedera
1.68,Bradford:595,BiotekH1,750,250,5,Sahan Liyanagedera
1.717,Bradford:595,BiotekH1,750,250,5,Sahan Liyanagedera
1.478,Bradford:595,BiotekH1,500,250,5,Sahan Liyanagedera
1.51,Bradford:595,BiotekH1,500,250,5,Sahan Liyanagedera
1.484,Bradford:595,BiotekH1,500,250,5,Sahan Liyanagedera
1.248,Bradford:595,BiotekH1,500,250,5,Sahan Liyanagedera
1.163,Bradford:595,BiotekH1,250,250,5,Sahan Liyanagedera
1.063,Bradford:595,BiotekH1,250,250,5,Sahan Liyanagedera
1.058,Bradford:595,BiotekH1,250,250,5,Sahan Liyanagedera
1.192,Bradford:595,BiotekH1,250,250,5,Sahan Liyanagedera
1.028,Bradford:595,BiotekH1,200,250,5,Sahan Liyanagedera
1.033,Bradford:595,BiotekH1,200,250,5,Sahan Liyanagedera
1.04,Bradford:595,BiotekH1,200,250,5,Sahan Liyanagedera
0.942,Bradford:595,BiotekH1,150,250,5,Sahan Liyanagedera
0.956,Bradford:595,BiotekH1,150,250,5,Sahan Liyanagedera
0.949,Bradford:595,BiotekH1,150,250,5,Sahan Liyanagedera
0.963,Bradford:595,BiotekH1,125,250,5,Sahan Liyanagedera
0.955,Bradford:595,BiotekH1,125,250,5,Sahan Liyanagedera
0.983,Bradford:595,BiotekH1,125,250,5,Sahan Liyanagedera
0.983,Bradford:595,BiotekH1,125,250,5,Sahan Liyanagedera
0.859,Bradford:595,BiotekH1,100,250,5,Sahan Liyanagedera
0.86,Bradford:595,BiotekH1,100,250,5,Sahan Liyanagedera
0.868,Bradford:595,BiotekH1,100,250,5,Sahan Liyanagedera
0.809,Bradford:595,BiotekH1,75,250,5,Sahan Liyanagedera
0.796,Bradford:595,BiotekH1,75,250,5,Sahan Liyanagedera
0.804,Bradford:595,BiotekH1,75,250,5,Sahan Liyanagedera
0.764,Bradford:595,BiotekH1,50,250,5,Sahan Liyanagedera
0.771,Bradford:595,BiotekH1,50,250,5,Sahan Liyanagedera
0.768,Bradford:595,BiotekH1,50,250,5,Sahan Liyanagedera
0.712,Bradford:595,BiotekH1,25,250,5,Sahan Liyanagedera
0.705,Bradford:595,BiotekH1,25,250,5,Sahan Liyanagedera
0.712,Bradford:595,BiotekH1,25,250,5,Sahan Liyanagedera
0.725,Bradford:595,BiotekH1,0,250,5,Sahan Liyanagedera
0.721,Bradford:595,BiotekH1,0,250,5,Sahan Liyanagedera
0.721,Bradford:595,BiotekH1,0,250,5,Sahan Liyanagedera
0.72,Bradford:595,BiotekH1,0,250,5,Sahan Liyanagedera
0.663,Bradford:595,BiotekH1,0,250,5,Sahan Liyanagedera
0.655,Bradford:595,BiotekH1,0,250,5,Sahan Liyanagedera
0.667,Bradford:595,BiotekH1,0,250,5,Sahan Liyanagedera
